library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,source_initial_condition_set,dimension,phasec_representability_threeway,n_target_regressions,n_evaluation_integrations,fit_elapsed_s_context,elapsed_s_evidence_role
poly_deg2_stlsq_0.01,2,False,0.01,58,2,3,exact,3,2,0.010303199998816126,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,59,1,3,exact,3,2,0.010230100000626408,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,59,2,3,exact,3,2,0.010190200000579352,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,60,1,3,surrogate:eq3_not_representable,3,2,0.008913199999369681,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,60,2,3,surrogate:eq3_not_representable,3,2,0.012402000000292901,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,61,1,3,exact,3,2,0.01085840000087046,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,61,2,3,exact,3,2,0.011151900000186288,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,62,1,4,surrogate:eq1_not_representable,4,2,0.01179740000043239,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,62,2,4,surrogate:eq1_not_representable,4,2,0.011385800000425661,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,63,1,4,exact,4,2,0.017472399998951005,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,63,2,4,exact,4,2,0.014838099999906262,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,1,1,1,exact,1,2,0.0052324999996926636,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,1,2,1,exact,1,2,0.004762500000651926,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,2,1,1,exact,1,2,0.005817199999000877,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,2,2,1,exact,1,2,0.0046416999994107755,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,3,1,1,exact,1,2,0.044570699999894714,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,3,2,1,exact,1,2,0.004200999999738997,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,4,1,1,surrogate:eq1_not_representable,1,2,0.005122500000652508,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,4,2,1,surrogate:eq1_not_representable,1,2,0.005083800000647898,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,5,1,1,exact,1,2,0.004496100000324077,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,5,2,1,exact,1,2,0.0046327000000019325,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,6,1,1,exact,1,2,0.004535899999609683,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,6,2,1,exact,1,2,0.004575500001010369,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,7,1,1,surrogate:eq1_not_representable,1,2,0.0036884000001009554,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,7,2,1,surrogate:eq1_not_representable,1,2,0.005718999998862273,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,8,1,1,exact,1,2,0.00575100000060047,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,8,2,1,exact,1,2,0.004695999999967171,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,9,1,1,exact,1,2,0.005497899999681977,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,9,2,1,exact,1,2,0.004747700000734767,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,10,1,1,surrogate:eq1_not_representable,1,2,0.005335899999408866,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,10,2,1,surrogate:eq1_not_representable,1,2,0.0058405999989190605,context_not_evidence
