library_id,polynomial_degree,include_sin_cos,stlsq_threshold,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_valid_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,3,exact,dimension_by_phasec_representability_threeway,5,0,0.0,0,0.0,1,5,0,0.0,-1.1877234582616605
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-4.67530580885201e+53
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,3,surrogate:eq3_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9423883914478068
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-8.380092455954635e+39
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-1.5201572712745838e+51
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,4,0.36363636363636365,4,0.36363636363636365,0,11,11,1.0,0.9999710516655868
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,0,12,12,1.0,0.9999581478543234
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,9,1,0.1111111111111111,1,0.1111111111111111,3,9,4,0.4444444444444444,-0.5765093349267583
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,1,0.08333333333333333,1,0.08333333333333333,4,12,8,0.6666666666666666,0.9863490491949262
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,2,0.3333333333333333,2,0.3333333333333333,0,6,6,1.0,0.9991189539556905
