run_id,experiment_id,system_id,variant_slug,seed,initial_condition_set,equation_index,n_found_terms,n_true_terms,n_true_positive_terms,n_missing_true_terms,n_extra_found_terms,term_precision,term_recall,structural_f1,exact_support_match,missing_true_terms,extra_found_terms,coefficient_relative_error_mean,coefficient_relative_error_max,n_coefficient_terms
67_evogrow_v2_2_stage_capped_pretune_on_12_1_42,paper1_phaseB_v1,12,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
68_evogrow_v2_2_stage_capped_pretune_on_12_1_123,paper1_phaseB_v1,12,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
69_evogrow_v2_2_stage_capped_pretune_on_12_1_7,paper1_phaseB_v1,12,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
70_evogrow_v2_2_stage_capped_pretune_on_12_2_42,paper1_phaseB_v1,12,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
71_evogrow_v2_2_stage_capped_pretune_on_12_2_123,paper1_phaseB_v1,12,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
72_evogrow_v2_2_stage_capped_pretune_on_12_2_7,paper1_phaseB_v1,12,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
73_evogrow_v2_2_stage_capped_pretune_on_13_1_42,paper1_phaseB_v1,13,evogrow_v2_2_stage_capped_pretune_on,42,1,1,3,1,0,1,3,0.0,0.0,0.0,False,sin(u1),cos(u1)|u1|u1^2,,,0
74_evogrow_v2_2_stage_capped_pretune_on_13_1_123,paper1_phaseB_v1,13,evogrow_v2_2_stage_capped_pretune_on,123,1,1,3,1,0,1,3,0.0,0.0,0.0,False,sin(u1),cos(u1)|u1|u1^2,,,0
75_evogrow_v2_2_stage_capped_pretune_on_13_1_7,paper1_phaseB_v1,13,evogrow_v2_2_stage_capped_pretune_on,7,1,1,3,1,0,1,3,0.0,0.0,0.0,False,sin(u1),cos(u1)|u1|u1^2,,,0
76_evogrow_v2_2_stage_capped_pretune_on_13_2_42,paper1_phaseB_v1,13,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,1,0,1,2,0.0,0.0,0.0,False,sin(u1),u1|u1^2,,,0
77_evogrow_v2_2_stage_capped_pretune_on_13_2_123,paper1_phaseB_v1,13,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,1,0,1,2,0.0,0.0,0.0,False,sin(u1),u1|u1^2,,,0
78_evogrow_v2_2_stage_capped_pretune_on_13_2_7,paper1_phaseB_v1,13,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,1,0,1,2,0.0,0.0,0.0,False,sin(u1),u1|u1^2,,,0
79_evogrow_v2_2_stage_capped_pretune_on_14_1_42,paper1_phaseB_v1,14,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
80_evogrow_v2_2_stage_capped_pretune_on_14_1_123,paper1_phaseB_v1,14,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
81_evogrow_v2_2_stage_capped_pretune_on_14_1_7,paper1_phaseB_v1,14,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
82_evogrow_v2_2_stage_capped_pretune_on_14_2_42,paper1_phaseB_v1,14,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
83_evogrow_v2_2_stage_capped_pretune_on_14_2_123,paper1_phaseB_v1,14,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
84_evogrow_v2_2_stage_capped_pretune_on_14_2_7,paper1_phaseB_v1,14,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
85_evogrow_v2_2_stage_capped_pretune_on_15_1_42,paper1_phaseB_v1,15,evogrow_v2_2_stage_capped_pretune_on,42,1,1,3,2,2,0,1,0.6666666666666666,1.0,0.8,False,,u1^3,,,0
86_evogrow_v2_2_stage_capped_pretune_on_15_1_123,paper1_phaseB_v1,15,evogrow_v2_2_stage_capped_pretune_on,123,1,1,3,2,2,0,1,0.6666666666666666,1.0,0.8,False,,u1^3,,,0
87_evogrow_v2_2_stage_capped_pretune_on_15_1_7,paper1_phaseB_v1,15,evogrow_v2_2_stage_capped_pretune_on,7,1,1,3,2,2,0,1,0.6666666666666666,1.0,0.8,False,,u1^3,,,0
88_evogrow_v2_2_stage_capped_pretune_on_15_2_42,paper1_phaseB_v1,15,evogrow_v2_2_stage_capped_pretune_on,42,2,1,1,2,1,1,0,1.0,0.5,0.6666666666666666,False,u1^2,,,,0
89_evogrow_v2_2_stage_capped_pretune_on_15_2_123,paper1_phaseB_v1,15,evogrow_v2_2_stage_capped_pretune_on,123,2,1,1,2,1,1,0,1.0,0.5,0.6666666666666666,False,u1^2,,,,0
90_evogrow_v2_2_stage_capped_pretune_on_15_2_7,paper1_phaseB_v1,15,evogrow_v2_2_stage_capped_pretune_on,7,2,1,1,2,1,1,0,1.0,0.5,0.6666666666666666,False,u1^2,,,,0
91_evogrow_v2_2_stage_capped_pretune_on_16_1_42,paper1_phaseB_v1,16,evogrow_v2_2_stage_capped_pretune_on,42,1,1,4,2,2,0,2,0.5,1.0,0.6666666666666666,False,,cos(u1)|u1^2,,,0
92_evogrow_v2_2_stage_capped_pretune_on_16_1_123,paper1_phaseB_v1,16,evogrow_v2_2_stage_capped_pretune_on,123,1,1,4,2,2,0,2,0.5,1.0,0.6666666666666666,False,,cos(u1)|u1^2,,,0
93_evogrow_v2_2_stage_capped_pretune_on_16_1_7,paper1_phaseB_v1,16,evogrow_v2_2_stage_capped_pretune_on,7,1,1,4,2,2,0,2,0.5,1.0,0.6666666666666666,False,,cos(u1)|u1^2,,,0
94_evogrow_v2_2_stage_capped_pretune_on_16_2_42,paper1_phaseB_v1,16,evogrow_v2_2_stage_capped_pretune_on,42,2,1,4,2,2,0,2,0.5,1.0,0.6666666666666666,False,,cos(u1)|u1^2,,,0
95_evogrow_v2_2_stage_capped_pretune_on_16_2_123,paper1_phaseB_v1,16,evogrow_v2_2_stage_capped_pretune_on,123,2,1,4,2,2,0,2,0.5,1.0,0.6666666666666666,False,,cos(u1)|u1^2,,,0
96_evogrow_v2_2_stage_capped_pretune_on_16_2_7,paper1_phaseB_v1,16,evogrow_v2_2_stage_capped_pretune_on,7,2,1,4,2,2,0,2,0.5,1.0,0.6666666666666666,False,,cos(u1)|u1^2,,,0
97_evogrow_v2_2_stage_capped_pretune_on_17_1_42,paper1_phaseB_v1,17,evogrow_v2_2_stage_capped_pretune_on,42,1,1,3,2,2,0,1,0.6666666666666666,1.0,0.8,False,,u1^3,,,0
98_evogrow_v2_2_stage_capped_pretune_on_17_1_123,paper1_phaseB_v1,17,evogrow_v2_2_stage_capped_pretune_on,123,1,1,3,2,2,0,1,0.6666666666666666,1.0,0.8,False,,u1^3,,,0
99_evogrow_v2_2_stage_capped_pretune_on_17_1_7,paper1_phaseB_v1,17,evogrow_v2_2_stage_capped_pretune_on,7,1,1,3,2,2,0,1,0.6666666666666666,1.0,0.8,False,,u1^3,,,0
100_evogrow_v2_2_stage_capped_pretune_on_17_2_42,paper1_phaseB_v1,17,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
101_evogrow_v2_2_stage_capped_pretune_on_17_2_123,paper1_phaseB_v1,17,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
102_evogrow_v2_2_stage_capped_pretune_on_17_2_7,paper1_phaseB_v1,17,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
103_evogrow_v2_2_stage_capped_pretune_on_18_1_42,paper1_phaseB_v1,18,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
104_evogrow_v2_2_stage_capped_pretune_on_18_1_123,paper1_phaseB_v1,18,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
