signal,operating_point,selected_k,sigma_rel,noise_replicate,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_denominator_exact_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_finite_nondiverged_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid,r2_q000_finite_nondiverged,r2_q025_finite_nondiverged,r2_q075_finite_nondiverged,r2_q100_finite_nondiverged
fd,bic,1,0.01,5,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9890080803483657,0.9834269690525557,0.9862175247004608,0.9917986359962707,0.9945891916441758
fd,bic,1,0.01,5,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.0917220135957044,-1.0917220135957044,-1.0917220135957044,-1.0917220135957044,-1.0917220135957044
fd,bic,1,0.01,5,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9996832311780024,0.9996832311780024,0.9996832311780024,0.9996832311780024,0.9996832311780024
fd,bic,1,0.01,5,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.9983036157798568,0.9983036157798568,0.9983036157798568,0.9983036157798568,0.9983036157798568
fd,bic,1,0.01,5,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9901949555653193,0.9828855563792069,0.9865402559722631,0.9938496551583754,0.9975043547514316
fd,bic,1,0.01,5,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.9991813584358498,0.9991813584358498,0.9991813584358498,0.9991813584358498,0.9991813584358498
fd,bic,1,0.05,1,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,3,3,0,0.0,0,0.0,0,3,1,0.3333333333333333,-90.61819298500991,-864.6824613884197,-477.6503271867148,-44.85671783739019,0.9047573102295364
fd,bic,1,0.05,1,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,7,0,0,,0,,0,7,0,0.0,-1.4511227776037052,-9.361911041889387,-3.756082426698325,0.6280198583628974,0.869823437448979
fd,bic,1,0.05,1,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,1,0.5,0.9091414952786301,0.8601137838267665,0.8846276395526983,0.9336553510045619,0.9581692067304937
fd,bic,1,0.05,1,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,3,0,0,,0,,0,3,0,0.0,0.33212968880541105,-9.871970691174754,-4.7699205011846715,0.409305236167848,0.48648078353028484
fd,bic,1,0.05,1,IC1_to_IC2,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-0.34063675638737745,-0.34063675638737745,-0.34063675638737745,-0.34063675638737745,-0.34063675638737745
fd,bic,1,0.05,1,IC1_to_IC2,reconstruction,1,exact,dimension_by_phasec_representability_threeway,3,3,0,0.0,0,0.0,0,3,1,0.3333333333333333,0.7308466937164672,0.5868114943665885,0.6588290940415278,0.8487241890486616,0.966601684380856
fd,bic,1,0.05,1,IC1_to_IC2,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,7,0,0,,0,,0,7,3,0.42857142857142855,0.8845902385383828,0.6566382594764261,0.8405477001044402,0.9373949845653682,0.9546530265973237
fd,bic,1,0.05,1,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9548971525906551,0.9440186929584535,0.9494579227745543,0.9603363824067558,0.9657756122228566
fd,bic,1,0.05,1,IC1_to_IC2,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,3,0,0,,0,,0,3,1,0.3333333333333333,0.8420945747171238,0.8059301541503057,0.8240123644337147,0.8726323416219333,0.9031701085267426
fd,bic,1,0.05,1,IC1_to_IC2,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.9672274046141038,0.9672274046141038,0.9672274046141038,0.9672274046141038,0.9672274046141038
