manifest_index,system_id,system_name,seed,initial_condition_set,variant,basis_name,representability,wp_n1_support_status,raw_support_match,pruned_support_match,support_equality_definition,raw_implies_pruned_violation,r2,r2_gt_0_9,loss,final_stage,eq_final_stages,total_parameter_fits,total_loss_evals,total_ode_solves,elapsed_s,elapsed_s_evidence_role,git_hash,config_fingerprint,stage_cap_behavior_fingerprint,incomplete_allowed,expected_manifest_records,observed_manifest_records,missing_manifest_indices,dim,classification_description,decision_layer
34,29,Dipole fixed point,7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9888584763143888,True,0.0007772558621249973,3,"[3,2]",250,495249,495249,6378.202310545,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Dipole fixed point,A_paired_both_exact
35,29,Dipole fixed point,42,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9888584769752544,True,0.000777255862125631,3,"[3,2]",270,608554,608554,2018.973220304,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Dipole fixed point,A_paired_both_exact
36,29,Dipole fixed point,123,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9991527396131104,True,4.613786711400741e-05,3,"[3,2]",250,751444,751444,2995.440838714,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Dipole fixed point,A_paired_both_exact
37,30,RNA molecules catalyzing each others replication,7,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq1_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9836863057829975,True,0.0001885195385566241,5,"[5,5]",410,518421,518421,279.93262138,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,RNA molecules catalyzing each others replication,C_literature_all_cells
38,30,RNA molecules catalyzing each others replication,42,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq1_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9836863057724343,True,0.00018851953855664525,5,"[5,5]",410,783865,783865,332.902014042,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,RNA molecules catalyzing each others replication,C_literature_all_cells
39,30,RNA molecules catalyzing each others replication,123,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq1_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9836863057581653,True,0.00018851953855665096,5,"[5,5]",410,672441,672441,176.365337625,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,RNA molecules catalyzing each others replication,C_literature_all_cells
40,30,RNA molecules catalyzing each others replication,7,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq1_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9923521907222514,True,0.00011759532133771067,5,"[5,5]",410,865056,865056,269.127913248,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,RNA molecules catalyzing each others replication,C_literature_all_cells
41,30,RNA molecules catalyzing each others replication,42,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq1_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9923521907749356,True,0.00011759532133766095,5,"[5,5]",410,518653,518653,118.853811459,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,RNA molecules catalyzing each others replication,C_literature_all_cells
42,30,RNA molecules catalyzing each others replication,123,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq1_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9923521906343753,True,0.00011759532133769238,5,"[5,5]",410,690938,690938,123.746906671,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,RNA molecules catalyzing each others replication,C_literature_all_cells
43,31,SIR infection model only for healthy and sick,7,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9999472442294092,True,0.00013429213735779449,3,"[3,3]",350,604374,604374,1988.808275439,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,SIR infection model only for healthy and sick,A_paired_both_exact
44,31,SIR infection model only for healthy and sick,42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9999625244209376,True,9.469577964296977e-05,3,"[3,3]",330,640275,640275,2497.922912097,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,SIR infection model only for healthy and sick,A_paired_both_exact
45,31,SIR infection model only for healthy and sick,123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9999475153209383,True,0.00013221102429316242,3,"[3,3]",290,619746,619746,6078.905937446,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,SIR infection model only for healthy and sick,A_paired_both_exact
46,31,SIR infection model only for healthy and sick,7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999968094,True,1.971592974394188e-11,3,"[3,3]",230,329767,329767,1231.893979036,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,SIR infection model only for healthy and sick,A_paired_both_exact
47,31,SIR infection model only for healthy and sick,42,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999968122,True,1.9963665684764433e-11,3,"[3,3]",270,462635,462635,11803.199183529,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,SIR infection model only for healthy and sick,A_paired_both_exact
48,31,SIR infection model only for healthy and sick,123,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999967952,True,1.999149343040642e-11,3,"[3,3]",230,296214,296214,4377.916710655,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,SIR infection model only for healthy and sick,A_paired_both_exact
49,32,Damped double well oscillator,7,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999998552096,True,1.900441930974166e-10,5,"[5,4]",550,2595435,2595435,68616.595033887,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Damped double well oscillator,A_paired_both_exact
50,32,Damped double well oscillator,42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999894782,True,1.389426980034796e-11,4,"[4,4]",470,2011059,2011059,15228.449837001,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Damped double well oscillator,A_paired_both_exact
51,32,Damped double well oscillator,123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999989795,True,1.3490805592488943e-12,4,"[4,4]",470,2099883,2099883,9904.848623351,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Damped double well oscillator,A_paired_both_exact
52,32,Damped double well oscillator,7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999869992715,True,9.232965063517954e-07,5,"[5,4]",510,1345446,1345446,17353.376179317,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Damped double well oscillator,A_paired_both_exact
53,32,Damped double well oscillator,42,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9874747509571034,True,1.0649814902623111,5,"[5,4]",610,1481635,1481635,22676.700999176,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Damped double well oscillator,A_paired_both_exact
54,32,Damped double well oscillator,123,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.8156144333306687,False,6.496146969829265,5,"[5,4]",430,924546,924546,11832.535438303,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Damped double well oscillator,A_paired_both_exact
