signal,ranking_method,sigma_rel,noise_replicate,ic_strategy,dimension,n_equations,q010,q025,q050,q075,q090,le_0_count,le_0_rate,le_1_count,le_1_rate,le_2_count,le_2_rate,le_3_count,le_3_rate,le_5_count,le_5_rate,le_10_count,le_10_rate
fd,forward,0.05,1,ic1,1,11,0.0,1.0,3.0,4.0,4.0,3,0.2727272727272727,3,0.2727272727272727,4,0.36363636363636365,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,1,ic1,2,20,0.0,0.0,0.0,7.0,7.0,11,0.55,12,0.6,12,0.6,13,0.65,14,0.7,20,1.0
fd,forward,0.05,1,ic1,3,24,0.0,0.0,0.5,13.25,16.0,12,0.5,14,0.5833333333333334,15,0.625,16,0.6666666666666666,16,0.6666666666666666,16,0.6666666666666666
fd,forward,0.05,1,ic1,4,4,6.4,14.5,19.0,20.25,22.5,0,0.0,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25
fd,forward,0.05,1,ic1_ic2,1,11,0.0,1.5,3.0,4.0,4.0,2,0.18181818181818182,3,0.2727272727272727,4,0.36363636363636365,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,1,ic1_ic2,2,20,0.0,0.0,0.0,4.25,8.0,11,0.55,12,0.6,12,0.6,13,0.65,16,0.8,20,1.0
fd,forward,0.05,1,ic1_ic2,3,24,0.0,0.0,0.0,4.0,16.0,15,0.625,17,0.7083333333333334,17,0.7083333333333334,17,0.7083333333333334,19,0.7916666666666666,19,0.7916666666666666
fd,forward,0.05,1,ic1_ic2,4,4,10.3,10.75,13.0,16.5,19.200000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25
fd,forward,0.05,1,ic2,1,11,0.0,1.0,3.0,4.0,4.0,2,0.18181818181818182,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,1,ic2,2,20,0.0,0.0,1.0,6.0,7.200000000000003,9,0.45,11,0.55,12,0.6,13,0.65,14,0.7,20,1.0
fd,forward,0.05,1,ic2,3,24,0.0,0.0,0.0,9.0,16.0,13,0.5416666666666666,14,0.5833333333333334,15,0.625,15,0.625,17,0.7083333333333334,20,0.8333333333333334
fd,forward,0.05,1,ic2,4,4,16.2,18.0,21.0,23.5,24.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
fd,forward,0.05,2,ic1,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,4,0.36363636363636365,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,2,ic1,2,20,0.0,0.0,1.0,6.25,8.0,10,0.5,10,0.5,11,0.55,13,0.65,14,0.7,20,1.0
fd,forward,0.05,2,ic1,3,24,0.0,0.0,0.5,14.25,16.0,12,0.5,13,0.5416666666666666,14,0.5833333333333334,14,0.5833333333333334,15,0.625,16,0.6666666666666666
fd,forward,0.05,2,ic1,4,4,9.5,11.75,17.5,22.75,24.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25
fd,forward,0.05,2,ic1_ic2,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,2,ic1_ic2,2,20,0.0,0.0,1.0,5.0,6.300000000000004,10,0.5,10,0.5,11,0.55,13,0.65,17,0.85,20,1.0
fd,forward,0.05,2,ic1_ic2,3,24,0.0,0.0,0.0,6.5,16.0,14,0.5833333333333334,15,0.625,15,0.625,17,0.7083333333333334,17,0.7083333333333334,19,0.7916666666666666
fd,forward,0.05,2,ic1_ic2,4,4,3.6000000000000005,9.0,17.0,22.25,22.7,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25
fd,forward,0.05,2,ic2,1,11,0.0,1.5,3.0,4.0,4.0,2,0.18181818181818182,3,0.2727272727272727,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,2,ic2,2,20,0.0,0.0,1.0,4.5,7.0,8,0.4,11,0.55,13,0.65,14,0.7,15,0.75,20,1.0
fd,forward,0.05,2,ic2,3,24,0.0,0.0,0.0,5.75,16.0,13,0.5416666666666666,14,0.5833333333333334,16,0.6666666666666666,17,0.7083333333333334,18,0.75,18,0.75
fd,forward,0.05,2,ic2,4,4,14.2,16.0,17.5,19.5,22.200000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
fd,forward,0.05,3,ic1,1,11,0.0,1.0,3.0,4.0,4.0,2,0.18181818181818182,4,0.36363636363636365,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,3,ic1,2,20,0.0,0.0,0.0,6.25,8.0,11,0.55,12,0.6,13,0.65,13,0.65,13,0.65,20,1.0
fd,forward,0.05,3,ic1,3,24,0.0,0.0,1.0,10.5,16.0,11,0.4583333333333333,13,0.5416666666666666,14,0.5833333333333334,14,0.5833333333333334,16,0.6666666666666666,18,0.75
fd,forward,0.05,3,ic1,4,4,2.9000000000000004,4.25,10.5,17.25,19.5,0,0.0,0,0.0,1,0.25,1,0.25,2,0.5,2,0.5
fd,forward,0.05,3,ic1_ic2,1,11,0.0,1.5,3.0,4.0,4.0,2,0.18181818181818182,3,0.2727272727272727,4,0.36363636363636365,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,3,ic1_ic2,2,20,0.0,0.0,0.0,1.25,4.500000000000007,12,0.6,15,0.75,16,0.8,17,0.85,18,0.9,20,1.0
fd,forward,0.05,3,ic1_ic2,3,24,0.0,0.0,0.0,4.25,16.0,14,0.5833333333333334,16,0.6666666666666666,17,0.7083333333333334,18,0.75,18,0.75,19,0.7916666666666666
fd,forward,0.05,3,ic1_ic2,4,4,0.0,0.0,3.0,7.5,10.200000000000001,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,3,0.75
fd,forward,0.05,3,ic2,1,11,0.0,2.5,3.0,4.0,4.0,2,0.18181818181818182,2,0.18181818181818182,3,0.2727272727272727,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,3,ic2,2,20,0.0,0.0,2.0,3.5,8.100000000000001,6,0.3,8,0.4,12,0.6,15,0.75,17,0.85,20,1.0
fd,forward,0.05,3,ic2,3,24,0.0,0.0,0.0,5.25,16.0,14,0.5833333333333334,15,0.625,16,0.6666666666666666,17,0.7083333333333334,18,0.75,19,0.7916666666666666
fd,forward,0.05,3,ic2,4,4,15.3,15.75,16.0,17.75,20.900000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
fd,forward,0.05,4,ic1,1,11,0.0,1.0,3.0,4.0,4.0,3,0.2727272727272727,3,0.2727272727272727,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,4,ic1,2,20,0.0,0.0,1.0,4.75,8.0,9,0.45,11,0.55,12,0.6,14,0.7,15,0.75,20,1.0
fd,forward,0.05,4,ic1,3,24,0.0,0.0,2.0,11.5,16.0,11,0.4583333333333333,12,0.5,12,0.5,13,0.5416666666666666,14,0.5833333333333334,17,0.7083333333333334
