run_id,experiment_id,phase,hypothesis,run_type,include_in_paper,system_id,system_name,system_dim,system_representability,system_expected_stage,variant,seed,status,inferred_status,success,failure_reason,started_at,finished_at,loss,objective,exact_support_match,final_stage,stage_overshoot,wasted_levels,total_loss_evals,total_invalid_evals,elapsed_s,partial,metrics_available,corrupted
3_evogrow_v2_2_stage_local_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_stage_local,123,finished,finished,true,,2026-04-22T23:10:32,2026-04-22T23:42:29,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9710430,9360,1916.529000043869,false,true,false
3_evogrow_v2_2_stage_local_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_stage_local,7,finished,finished,true,,2026-04-22T23:42:29,2026-04-23T00:15:58,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9690130,9360,2009.0030000209808,false,true,false
3_evogrow_v2_2_stage_local_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_stage_local,99,finished,finished,true,,2026-04-23T00:15:58,2026-04-23T00:48:53,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9629230,9360,1975.1579999923706,false,true,false
3_evogrow_v2_2_stage_local_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_stage_local,17,finished,finished,true,,2026-04-23T00:48:54,2026-04-23T01:22:16,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9588630,9360,2002.1539998054504,false,true,false
3_evogrow_v2_2_passive_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_passive,42,finished,finished,true,,2026-04-23T01:22:16,2026-04-23T01:56:44,3.236362682414739e-8,0.002000032363626824,true,5,3,12,10147080,8010,2068.0490000247955,false,true,false
3_evogrow_v2_2_passive_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_passive,123,finished,finished,true,,2026-04-23T01:56:44,2026-04-23T02:32:15,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9906770,8640,2130.5080001354218,false,true,false
3_evogrow_v2_2_passive_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_passive,7,finished,finished,true,,2026-04-23T02:32:15,2026-04-23T03:07:08,3.236362682414739e-8,0.002000032363626824,true,5,3,12,10089510,8370,2092.930999994278,false,true,false
3_evogrow_v2_2_passive_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_passive,99,finished,finished,true,,2026-04-23T03:07:08,2026-04-23T03:41:54,3.236362682414739e-8,0.002000032363626824,true,5,3,12,10197830,8010,2085.922000169754,false,true,false
3_evogrow_v2_2_passive_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_passive,17,finished,finished,true,,2026-04-23T03:41:54,2026-04-23T04:16:35,3.236362682414739e-8,0.002000032363626824,true,5,3,12,10143690,8055,2081.311999797821,false,true,false
3_evogrow_v2_2_soft_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_soft,42,finished,finished,true,,2026-04-23T04:16:35,2026-04-23T04:50:54,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9883040,8955,2058.938999891281,false,true,false
